,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
66,66,2011-03-12,,MEM,W,118,85,,40,69,.580,12,19,.632,28,50,.560,.667,26,30,.867,5,35,40,27,10,11,15,25,33,84,.393,1,10,.100,32,74,.432,.399,18,25,.720,12,26,38,17,8,3,14,23
67,67,2011-03-14,,SAS,W,110,80,,42,78,.538,3,9,.333,39,69,.565,.558,23,24,.958,8,39,47,25,9,5,11,21,31,81,.383,6,22,.273,25,59,.424,.420,12,19,.632,7,26,33,17,5,2,13,21
68,68,2011-03-16,,OKC,L,85,96,,30,78,.385,3,17,.176,27,61,.443,.404,22,28,.786,9,31,40,14,5,8,12,19,35,88,.398,9,20,.450,26,68,.382,.449,17,22,.773,17,34,51,21,7,4,14,25
69,69,2011-03-18,@,ATL,W,106,85,,38,71,.535,11,22,.500,27,49,.551,.613,19,26,.731,8,42,50,28,2,3,16,23,35,79,.443,3,12,.250,32,67,.478,.462,12,22,.545,5,22,27,21,8,2,6,18
70,70,2011-03-19,,DEN,W,103,98,,36,71,.507,6,20,.300,30,51,.588,.549,25,29,.862,4,34,38,15,6,11,12,22,34,78,.436,10,24,.417,24,54,.444,.500,20,28,.714,4,27,31,14,8,2,10,19
71,71,2011-03-23,@,DET,W,100,94,,31,64,.484,6,19,.316,25,45,.556,.531,32,39,.821,8,26,34,20,6,1,12,21,35,71,.493,4,13,.308,31,58,.534,.521,20,26,.769,8,29,37,28,6,1,12,26
72,72,2011-03-25,,PHI,W,111,99,,41,83,.494,7,20,.350,34,63,.540,.536,22,28,.786,15,34,49,22,11,6,16,17,40,86,.465,7,19,.368,33,67,.493,.506,12,14,.857,7,24,31,22,10,2,13,24
73,73,2011-03-27,,HOU,W,125,119,,46,92,.500,5,17,.294,41,75,.547,.527,28,34,.824,17,31,48,16,1,6,10,19,43,89,.483,9,21,.429,34,68,.500,.534,24,28,.857,9,24,33,21,4,2,10,23
74,74,2011-03-29,@,CLE,L,90,102,,33,78,.423,10,25,.400,23,53,.434,.487,14,22,.636,8,22,30,24,5,3,13,25,35,63,.556,9,17,.529,26,46,.565,.627,23,35,.657,6,38,44,25,5,7,15,23
75,75,2011-03-30,@,WAS,W,123,107,,41,71,.577,10,19,.526,31,52,.596,.648,31,39,.795,8,27,35,28,7,7,13,18,38,77,.494,9,16,.563,29,61,.475,.552,22,31,.710,12,23,35,15,8,6,14,30
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
76,76,2011-04-01,@,MIN,W,111,92,,42,77,.545,4,13,.308,38,64,.594,.571,23,30,.767,9,37,46,26,8,3,18,20,34,81,.420,10,23,.435,24,58,.414,.481,14,19,.737,7,24,31,16,7,3,15,24
77,77,2011-04-03,@,NJN,W,108,94,,42,75,.560,5,15,.333,37,60,.617,.593,19,32,.594,8,42,50,22,5,4,15,23,34,85,.400,8,28,.286,26,57,.456,.447,18,25,.720,6,24,30,22,9,0,9,25
78,78,2011-04-06,,MIL,L,85,90,,30,74,.405,8,23,.348,22,51,.431,.459,17,21,.810,12,31,43,14,6,6,16,15,34,76,.447,7,20,.350,27,56,.482,.493,15,15,1.000,6,32,38,16,11,4,11,16
79,79,2011-04-08,,CHA,W,112,103,,39,69,.565,3,9,.333,36,60,.600,.587,31,35,.886,5,29,34,26,7,4,16,20,41,86,.477,5,16,.313,36,70,.514,.506,16,21,.762,11,22,33,17,10,4,11,25
80,80,2011-04-10,,BOS,W,100,77,,38,75,.507,6,18,.333,32,57,.561,.547,18,26,.692,15,27,42,24,9,4,18,17,29,64,.453,6,13,.462,23,51,.451,.500,13,16,.813,3,23,26,16,9,2,19,18
81,81,2011-04-11,@,ATL,W,98,90,,36,69,.522,6,17,.353,30,52,.577,.565,20,24,.833,10,28,38,24,5,3,19,19,37,83,.446,4,12,.333,33,71,.465,.470,12,21,.571,15,20,35,25,11,1,14,21
82,82,2011-04-13,@,TOR,W,97,79,,37,81,.457,13,26,.500,24,55,.436,.537,10,14,.714,13,27,40,20,6,1,15,18,28,64,.438,1,8,.125,27,56,.482,.445,22,34,.647,10,23,33,16,8,8,17,15
,,,,,58-24,8369,7757,,3031,6301,.481,547,1479,.370,2484,4822,.515,.524,1760,2288,.769,790,2666,3456,1639,544,430,1142,1674,2869,6614,.434,546,1584,.345,2323,5030,.462,.475,1473,1980,.744,864,2349,3213,1651,574,246,1081,1788
