"Player","Season(s)","Team(s)","GP","PTS","REB","AST","Win%"
"Scott Williams","1: 2004-05","Cavaliers",19,1.7,1.6,0.4,"52.6%"
"Trey Jemison","1: 2024-25","Lakers",18,2.2,2.4,0.2,"83.3%"
"Lorenzen Wright","1: 2008-09","Cavaliers",17,1.1,1.1,0.2,"82.4%"
"Derrick Rose","1: 2017-18","Cavaliers",16,9.8,1.8,1.6,"56.3%"
"Ivica Zubac","1: 2018-19","Lakers",16,5.8,3.8,0.6,"56.3%"
"Jiri Welsch","1: 2004-05","Cavaliers",16,2.9,1.8,1.2,"31.3%"
"Brendan Haywood","1: 2014-15","Cavaliers",16,1.4,1.1,0.1,"81.3%"
"Reggie Bullock","1: 2018-19","Lakers",15,8.6,2.7,0.9,"20.0%"
"Johnathan Williams","1: 2018-19","Lakers",14,5.7,3.6,0.4,"42.9%"
"Colin Castleton","1: 2023-24","Lakers",14,1.3,0.9,0.2,"57.1%"
"London Perrantes","1: 2017-18","Cavaliers",14,0.5,0.3,0.4,"57.1%"
"Eddy Curry","1: 2011-12","Heat",13,1.5,0.6,0.1,"92.3%"
"D.J. Augustin","1: 2021-22","Lakers",12,6,0.9,1.3,"33.3%"
"Stephen Graham","1: 2005-06","Cavaliers",12,2.3,0.8,0.2,"41.7%"
"Skylar Mays","1: 2023-24","Lakers",12,1.5,0.4,0.7,"50.0%"
"Zendon Hamilton","1: 2005-06","Cavaliers",11,2.3,1,0,"63.6%"
"Andre Drummond","1: 2020-21","Lakers",10,10.9,10.8,0.2,"50.0%"
"Isaac Bonga","1: 2018-19","Lakers",10,0.8,0.6,0.4,"40.0%"
"Matt Ryan","1: 2022-23","Lakers",9,4.7,1.2,0.3,"33.3%"
"Mike Muscala","1: 2018-19","Lakers",9,2.4,0.7,0.4,"22.2%"
"Devontae Cacok","2: 2019-20 to 2020-21","Lakers",9,2.3,2.1,0.2,"44.4%"
"Kostas Antetokounmpo","2: 2019-20 to 2020-21","Lakers",9,1.7,1.3,0.2,"55.6%"
"Lou Amundson","1: 2014-15","Cavaliers",9,1.2,1.7,0.4,"55.6%"
"Ben McLemore","1: 2020-21","Lakers",8,2.6,1.1,0.3,"37.5%"
"Mohamed Bamba","1: 2022-23","Lakers",8,2,3.6,0.4,"87.5%"
"Will Cherry","1: 2014-15","Cavaliers",8,1.9,0.6,1,"75.0%"
"Billy Thomas","1: 2007-08","Cavaliers",8,1.9,0.4,0.1,"62.5%"
"Armel Traore","1: 2024-25","Lakers",8,1.5,1.9,0.1,"50.0%"
"Shaquille Harrison","1: 2022-23","Lakers",8,1.3,0.4,1.1,"37.5%"
